stop_id,stop_name,stop_lat,stop_lon
STIB-6081B,FERNAND LEGER,50.875408,4.410155
STIB-6082,LUTHER,50.849327,4.38565
STIB-6099,AVENUE DU ROI,50.831452,4.3345
STIB-6100,MOORSLEDE,50.877572,4.351034
STIB-6106,BETHLEEM,50.830132,4.337425
STIB-6109,MORIS,50.824156,4.350302
STIB-6112,FLAGEY,50.828273,4.372017
STIB-6113F,GERMOIR,50.829955,4.379824
STIB-6114F,EGLISE ST-ANTOINE,50.8299,4.386634
STIB-6117,PLACE ST-PIERRE,50.83727,4.396066
STIB-6120,DAUTZENBERG,50.827628,4.36729
STIB-6121F,GUILLAUME TELL,50.828128,4.341869
STIB-6122,PRINC. CLEMENTINE,50.877132,4.353791
STIB-6123,MASUI,50.868871,4.362104
STIB-6153,PLACE ST-PIERRE,50.837081,4.395711
STIB-6155F,LA CHASSE,50.830431,4.389192
STIB-6156F,EGLISE ST-ANTOINE,50.829852,4.386154
STIB-6157F,GERMOIR,50.829919,4.379554
STIB-6158,LEVURE,50.828018,4.375186
STIB-6158H,LEVURE,50.828028,4.375196
STIB-6162,MORIS,50.824363,4.350784
STIB-6165,GUILLAUME TELL,50.828698,4.340716
STIB-6166,BETHLEEM,50.829907,4.33805
STIB-6171,MOORSLEDE,50.877518,4.35031
STIB-6172,JACOBS FONTAINE,50.878928,4.342935
STIB-6173,PRINCE LEOPOLD,50.883144,4.341753
STIB-6174F,PRINC. CLEMENTINE,50.876997,4.354658
STIB-6175,AVENUE DU ROI,50.83183,4.333762
STIB-6190,BRABANCONNE,50.852119,4.387783
STIB-6191,BRABANCONNE,50.851728,4.387294
STIB-6201F,LEFRANCQ,50.861404,4.368416
STIB-6202F,ROBIANO,50.86079,4.371323
STIB-6204F,PATRIE,50.85623,4.391249
STIB-6209,BERKENDAEL,50.818079,4.346047
STIB-6210,BIENFAITEURS,50.857731,4.383811
STIB-6214,PATRIE,50.856167,4.391746
STIB-6253,BERKENDAEL,50.817656,4.34616
STIB-6258F,PATRIE,50.856734,4.391036
STIB-6260F,LEFRANCQ,50.861626,4.367787
STIB-6302,EENENS,50.868269,4.375472
STIB-6303,POGGE,50.866389,4.375027
STIB-6304,EGLISE ST-SERVAIS,50.864062,4.373326
STIB-6308,CONGRES,50.850418,4.364228
STIB-6308F,CONGRES,50.850416,4.364237
STIB-6309F,PARC,50.84699,4.362456
STIB-6313F,POELAERT,50.837012,4.353406
STIB-6314,LOUISE,50.835673,4.355167
STIB-6352,POELAERT,50.837219,4.353264
STIB-6353,PETIT SABLON,50.839354,4.355459
STIB-6354B,ROYALE,50.841545,4.358548
STIB-6355,PALAIS,50.843837,4.360876
STIB-6356,PARC,50.846613,4.362363
STIB-6356F,PARC,50.846613,4.362353
STIB-6357,CONGRES,50.850684,4.364438
STIB-6357F,CONGRES,50.850687,4.364431
STIB-6359,GILLON,50.855891,4.36719
STIB-6359F,GILLON,50.856062,4.367219
STIB-6361,LOUISE,50.835888,4.355039
STIB-6363,EGLISE ST-SERVAIS,50.864263,4.3735
STIB-6364F,POGGE,50.866606,4.375486
STIB-6365,EENENS,50.868611,4.374847
STIB-6369,MERIDIEN,50.856809,4.369347
STIB-6406,LEPOUTRE,50.819878,4.3594
STIB-6408,LEPOUTRE,50.819959,4.359159
STIB-6409F,SAINTE-MARIE,50.858974,4.369732
STIB-6410,SAINTE-MARIE,50.858169,4.368372
STIB-6411,SAINTE-MARIE,50.858091,4.368127
STIB-6412F,SAINTE-MARIE,50.858048,4.36817
STIB-6416F,ROBIANO,50.860089,4.371153
STIB-6418,ROBIANO,50.860305,4.371337
STIB-6419F,ROBIANO,50.860979,4.370727
STIB-6420G,VANDERKINDERE,50.814339,4.348376
STIB-6421F,VANDERKINDERE,50.813378,4.348149
STIB-6422F,VANDERKINDERE,50.813198,4.34856
STIB-6423F,VANDERKINDERE,50.812915,4.34744
STIB-6424F,VANDERKINDERE,50.814348,4.34751
STIB-6425F,JANSON,50.825541,4.355141
STIB-6427F,JANSON,50.825451,4.354346
STIB-6428,JANSON,50.825964,4.354644
STIB-6428F,JANSON,50.825784,4.354601
STIB-6430,JANSON,50.826009,4.354786
STIB-6430F,JANSON,50.826144,4.354828
STIB-6432,TRONE,50.840537,4.366324
STIB-6433,TRONE,50.840315,4.367127
STIB-6434F,BOTANIQUE,50.853704,4.365987
STIB-6435,BOTANIQUE,50.853536,4.366082
STIB-6436,BOTANIQUE,50.853078,4.366146
STIB-6437F,BOTANIQUE,50.853365,4.365756
STIB-6438,BOTANIQUE,50.853715,4.36577
STIB-6439,MONTANA,50.799589,4.376795
STIB-6440,MONTANA,50.799585,4.376343
STIB-6442,GARE CENTRALE,50.846506,4.359369
STIB-6443,GARE CENTRALE,50.845957,4.35809
STIB-6444,GARE CENTRALE,50.845927,4.357792
STIB-6445,GARE CENTRALE,50.845858,4.357294
STIB-6448,DIAMANT,50.849465,4.402304
STIB-6449,DIAMANT,50.848712,4.401753
STIB-6450,DIAMANT,50.848802,4.401668
STIB-6451,DIAMANT,50.849103,4.401571
STIB-6453,WASHINGTON,50.821838,4.36282
STIB-6454,DIAMANT,50.849234,4.40154
STIB-6456F,PRINC. ELISABETH,50.873267,4.377632
STIB-6457F,PRINC. ELISABETH,50.87301,4.378128
STIB-6459G,PRINC. ELISABETH,50.872983,4.376875
STIB-6461G,PRINC. ELISABETH,50.872585,4.376544
STIB-6462F,MERODE,50.839301,4.399631
STIB-6463F,MERODE,50.839184,4.399971
STIB-6464,MAELBEEK,50.843725,4.378319
STIB-6465,MAELBEEK,50.843551,4.378072
STIB-6468,DEMEY,50.813187,4.422657
STIB-6469,DEMEY,50.81262,4.423124
STIB-6470F,ROBIANO,50.860394,4.37138
STIB-6471,ETANGS NOIRS,50.857234,4.332479
STIB-6472,THIEFFRY,50.832934,4.401811
STIB-6473,THIEFFRY,50.832846,4.401926
STIB-6474F,STOCKEL,50.84135,4.465339
STIB-6475F,STOCKEL,50.841009,4.465309
STIB-6476,TOMBERG,50.842837,4.424814
STIB-6477,TOMBERG,50.842932,4.425034
STIB-6481,ROI BAUDOUIN,50.89684,4.329706
STIB-6482,ROI BAUDOUIN,50.896813,4.329876
STIB-6483B,VEEWEYDE,50.830338,4.301111
STIB-6484B,VEEWEYDE,50.829745,4.300692
STIB-6485G,ESPLANADE,50.899576,4.348519
STIB-6486G,ESPLANADE,50.899681,4.348488
STIB-6504,JACOBS FONTAINE,50.878901,4.342438
STIB-6505,FOYER JETTOIS,50.878984,4.338516
STIB-6552,FOYER JETTOIS,50.879035,4.338118
STIB-6601,LEMONNIER,50.840381,4.340599
STIB-6604F,PORTE DE FLANDRE,50.853991,4.342195
STIB-6607,YSER,50.857741,4.348783
STIB-6608G,ARTS ET METIERS,50.847997,4.33778
STIB-6648,TRIANGLE,50.849969,4.334679
STIB-6648F,TRIANGLE,50.850009,4.334997
