trip_id,route_id
STIB-124945416290074001,STIB-17
STIB-124945417290074001,STIB-17
STIB-124945418290074001,STIB-17
STIB-124945419290074001,STIB-17
STIB-124945420290074001,STIB-17
STIB-124945421290074001,STIB-17
STIB-124945422290074001,STIB-17
STIB-124945423290074001,STIB-17
STIB-124945424290074001,STIB-17
STIB-124945425290074001,STIB-17
STIB-124945426290074001,STIB-17
STIB-124945427290074001,STIB-17
STIB-124945428290074001,STIB-17
STIB-124945429290074001,STIB-17
STIB-124945430290074001,STIB-17
STIB-124945431290074001,STIB-17
STIB-124945432290074001,STIB-17
STIB-124945433290074001,STIB-17
STIB-124945434290074001,STIB-17
STIB-124945435290074001,STIB-17
STIB-124945436290074001,STIB-17
STIB-124945437290074001,STIB-17
STIB-124945438290074001,STIB-17
STIB-124945439290074001,STIB-17
STIB-124945440290074001,STIB-17
STIB-124945441290074001,STIB-17
STIB-124945486290074001,STIB-17
STIB-124945507290074001,STIB-17
STIB-124945548290075501,STIB-17
STIB-124945549290075501,STIB-17
STIB-124945550290075501,STIB-17
STIB-124945551290075501,STIB-17
STIB-124945552290075501,STIB-17
STIB-124945553290075501,STIB-17
STIB-124945554290075501,STIB-17
STIB-124945555290075501,STIB-17
STIB-124945556290075501,STIB-17
STIB-124945557290075501,STIB-17
STIB-124945558290075501,STIB-17
STIB-124945559290075501,STIB-17
STIB-124945560290075501,STIB-17
STIB-124945561290075501,STIB-17
STIB-124945562290075501,STIB-17
STIB-124945563290075501,STIB-17
STIB-124945564290075501,STIB-17
STIB-124945565290075501,STIB-17
STIB-124945566290075501,STIB-17
STIB-124945567290075501,STIB-17
STIB-124945568290075501,STIB-17
STIB-124945569290075501,STIB-17
STIB-124945570290075501,STIB-17
STIB-124945571290075501,STIB-17
STIB-124945572290075501,STIB-17
STIB-124945573290075501,STIB-17
STIB-124945574290075501,STIB-17
STIB-124945575290075501,STIB-17
STIB-124945576290075501,STIB-17
STIB-124945577290075501,STIB-17
STIB-124945578290075501,STIB-17
STIB-124945580290075501,STIB-17
STIB-124945581290075501,STIB-17
STIB-124945582290075501,STIB-17
